week,conflict_label,total,n_bot,n_human,bot_share,mean_ttr_human,shannon_entropy
2010-12-05,gaza_israel,9,0,9,0,0.8187519249116848,6.936632835188374
2010-12-12,gaza_israel,3,2,1,0.6666666666666666,0.95,3
2012-03-04,both,4,0,4,0,0.7972689530593943,5.8902749974419235
2012-03-18,gaza_israel,3,0,3,0,0.918918918918919,4.964904158123494
2012-04-22,gaza_israel,4,0,4,0,0.8453282828282829,5.966210122385706
2012-06-03,iran_usa,3,2,1,0.6666666666666666,0.8404255319148937,4.9375
2012-06-17,iran_usa,3,0,3,0,0.7719521096478831,6.185789887791045
2012-07-08,gaza_israel,4,0,4,0,0.7678052278064567,7.20056306349049
2012-08-05,iran_usa,3,0,3,0,0.9224806201550387,5.7299261269014305
2012-09-16,both,4,2,2,0.5,0.7629498647805284,6.641305846512185
2012-09-16,gaza_israel,13,10,3,0.7692307692307693,0.8484460978067117,5.672551900262684
2012-09-23,iran_usa,4,2,2,0.5,0.9375,3.96981578242681
2012-10-07,gaza_israel,3,1,2,0.3333333333333333,0.7685185185185185,5.261842188131012
2012-10-14,gaza_israel,3,1,2,0.3333333333333333,0.8801652892561984,5.469482468698914
2012-10-21,gaza_israel,3,1,2,0.3333333333333333,0.911111111111111,3.664497779200461
2012-10-28,gaza_israel,9,2,7,0.2222222222222222,0.8642169970012628,7.061687896024661
2012-11-04,gaza_israel,5,0,5,0,0.8916666666666666,5.589614648336087
2012-11-11,gaza_israel,9,0,9,0,0.8607229031318412,6.63256249741352
2012-11-18,gaza_israel,10,3,7,0.3,0.8627381095637893,6.688259410733215
2013-01-13,gaza_israel,3,1,2,0.3333333333333333,0.8029970760233918,4.927798970294786
2013-01-27,gaza_israel,3,1,2,0.3333333333333333,0.683872088981578,5.745289857076009
2013-02-03,gaza_israel,4,0,4,0,0.778375626566416,5.6097413207005085
2013-08-18,iran_usa,3,0,3,0,0.8658536585365854,6.177547974087685
2013-08-25,iran_usa,3,0,3,0,0.7901383631379716,6.160763851585576
2013-11-03,gaza_israel,3,1,2,0.3333333333333333,0.8934959349593495,4.459431618637297
2013-12-15,gaza_israel,6,2,4,0.3333333333333333,0.8330101271277742,6.856279552464523
2014-01-26,gaza_israel,6,2,4,0.3333333333333333,0.7749115456704989,5.814235550408468
2014-03-02,gaza_israel,3,0,3,0,0.7571531038080334,6.1731733168630285
2014-04-27,gaza_israel,12,11,1,0.9166666666666666,0.7523809523809524,4.729283016944966
2014-05-04,gaza_israel,4,1,3,0.25,0.815469018769844,5.889680181354617
2014-05-18,gaza_israel,8,2,6,0.25,0.8775243147656941,6.204999230169446
2014-06-22,gaza_israel,3,2,1,0.6666666666666666,1,3.1699250014423126
2014-07-06,gaza_israel,22,6,16,0.2727272727272727,0.8529706648403602,7.68626624002124
2014-07-13,gaza_israel,25,10,15,0.4,0.8863159022026752,7.001621698893642
2014-07-20,both,8,4,4,0.5,0.7105561901667297,7.576654433597022
2014-07-20,gaza_israel,36,19,17,0.5277777777777778,0.8232011501670266,7.969351569189933
2014-07-27,gaza_israel,35,18,17,0.5142857142857142,0.8933391204814203,7.455981043488893
2014-08-03,gaza_israel,15,8,7,0.5333333333333333,0.8131823073447417,7.006047162063962
2014-08-10,gaza_israel,9,0,9,0,0.8218517322918849,8.351503243936978
2014-08-17,gaza_israel,6,1,5,0.16666666666666666,0.8621907332433648,5.954874565488159
2014-08-24,gaza_israel,7,2,5,0.2857142857142857,0.8558847319888481,6.549976451652385
2014-08-31,gaza_israel,3,0,3,0,0.8985507246376812,5.392317422778761
2014-09-21,gaza_israel,3,0,3,0,0.9286412512218964,4.7068905956085185
2014-10-05,gaza_israel,11,3,8,0.2727272727272727,0.8197649868842943,6.7785450040693735
2014-11-02,gaza_israel,6,0,6,0,0.8847805788982259,6.080873906728535
2014-11-09,gaza_israel,7,1,6,0.14285714285714285,0.913768115942029,6.6193569159782575
2014-11-16,gaza_israel,6,0,6,0,0.7668736199822251,8.871945630634812
2014-12-07,gaza_israel,5,2,3,0.4,0.872183908045977,4.832560875056691
2014-12-21,gaza_israel,4,3,1,0.75,1,2
2015-01-04,gaza_israel,3,1,2,0.3333333333333333,0.8551136363636364,5.848084545645458
2015-02-01,gaza_israel,3,1,2,0.3333333333333333,0.7613345733550336,6.4010001046090546
2015-02-01,iran_usa,3,1,2,0.3333333333333333,1,3.1699250014423126
2015-02-22,iran_usa,3,0,3,0,0.8882061785287592,4.926427859887889
2015-03-08,gaza_israel,9,4,5,0.4444444444444444,0.9129297052154195,5.5957940411394596
2015-03-22,gaza_israel,4,0,4,0,0.9333116460637606,5.720049960644813
2015-03-29,iran_usa,3,0,3,0,0.803061575507396,6.818644546906488
2015-04-05,gaza_israel,3,1,2,0.3333333333333333,0.8204527712724434,5.221928094887362
2015-04-26,gaza_israel,9,4,5,0.4444444444444444,0.8271314102564102,6.621849360614598
